Employee_ID,Department,Hire_Year,Salary_Band,Annual_Salary,Remote_Work,Tenure_Years,Manager_Satisfaction,Promotions_Last_5_Years,Overtime_Hours_Per_Month,Attrition
EMP-12333,Engineering,2022,Mid Level,85860,Hybrid,2,,0,3,Yes
EMP-12334,Marketing,2013,Senior,131230,Fully Remote,11,,1,5,No
EMP-12335,Engineering,2013,Mid Level,85599,Never,11,5.0,2,29,Yes
EMP-12336,Engineering,2023,Entry Level,48528,Hybrid,1,4.0,1,7,Yes
EMP-12337,Engineering,2010,Mid Level,84206,Hybrid,14,2.0,0,22,Yes
EMP-12338,Marketing,2013,Entry Level,48247,Fully Remote,11,2.0,0,5,Yes
EMP-12339,HR,2019,Mid Level,81600,Fully Remote,5,1.0,0,34,Yes
EMP-12340,Engineering,2023,Senior,127805,Never,1,5.0,0,3,No
EMP-12341,Engineering,2010,Entry Level,48254,Never,14,1.0,1,19,No
EMP-12342,Engineering,2018,Senior,131449,Hybrid,6,,0,19,No
EMP-12343,HR,2022,Senior,126417,Fully Remote,2,5.0,0,4,No
EMP-12344,Sales,2015,Executive,197297,Never,9,3.0,2,28,Yes
EMP-12345,HR,2015,Entry Level,54383,Hybrid,9,2.0,2,20,Yes
EMP-12346,Finance,2017,Entry Level,54751,Fully Remote,7,5.0,1,1,No
EMP-12347,Marketing,2015,Mid Level,86067,Hybrid,9,3.0,1,2,No
EMP-12348,Marketing,2016,Entry Level,51325,Never,8,5.0,0,53,Yes
EMP-12349,Sales,2019,Mid Level,82139,Never,5,3.0,1,24,No
EMP-12350,Sales,2014,Senior,132936,Never,10,5.0,0,9,No
EMP-12351,Sales,2013,Mid Level,82086,Fully Remote,11,1.0,1,25,No
EMP-12352,Engineering,2011,Entry Level,47534,Hybrid,13,2.0,0,1,Yes
EMP-12353,HR,2022,Entry Level,47694,Hybrid,2,3.0,0,1,No
EMP-12354,Sales,2015,Entry Level,48188,Hybrid,9,3.0,2,7,No
EMP-12355,Engineering,2010,Mid Level,84842,Never,14,1.0,2,28,Yes
EMP-12356,Engineering,2021,Mid Level,83888,Hybrid,3,4.0,0,14,No
EMP-12357,Engineering,2017,Entry Level,51118,Fully Remote,7,4.0,0,18,No
EMP-12358,Engineering,2011,Mid Level,80276,Fully Remote,13,4.0,0,11,No
EMP-12359,Sales,2021,Senior,128517,Hybrid,3,,1,36,No
EMP-12360,Sales,2013,Entry Level,48086,Fully Remote,11,1.0,0,26,Yes
EMP-12361,Marketing,2014,Mid Level,82033,Hybrid,10,1.0,0,0,No
EMP-12362,Sales,2010,Executive,203292,Hybrid,14,5.0,0,7,Yes
EMP-12363,Finance,2011,Mid Level,83293,Never,13,1.0,0,32,Yes
EMP-12364,Sales,2013,Executive,204184,Hybrid,11,5.0,0,4,No
EMP-12365,Finance,2010,Entry Level,52203,Fully Remote,14,2.0,0,18,Yes
EMP-12366,Sales,2017,Mid Level,89369,Fully Remote,7,4.0,0,5,No
EMP-12367,Sales,2018,Executive,203699,Hybrid,6,1.0,1,5,No
EMP-12368,Sales,2011,Mid Level,85514,Hybrid,13,5.0,0,6,No
EMP-12369,Sales,2021,Senior,127449,Hybrid,3,5.0,0,19,No
EMP-12370,Marketing,2017,Entry Level,54558,Hybrid,7,4.0,1,41,Yes
EMP-12371,Sales,2022,Mid Level,83989,Hybrid,2,4.0,0,8,No
EMP-12372,Finance,2020,Mid Level,80243,Fully Remote,4,5.0,0,9,Yes
EMP-12373,Sales,2014,Entry Level,45837,Hybrid,10,1.0,2,5,No
EMP-12374,Sales,2018,Mid Level,87597,Fully Remote,6,1.0,1,2,No
EMP-12375,Sales,2019,Entry Level,50297,Fully Remote,5,1.0,0,13,No
EMP-12376,Marketing,2015,Mid Level,89916,Hybrid,9,1.0,1,8,Yes
EMP-12377,HR,2018,Senior,126008,Hybrid,6,5.0,0,3,No
EMP-12378,Engineering,2012,Mid Level,82944,Hybrid,12,1.0,0,4,Yes
EMP-12379,Sales,2015,Entry Level,48228,Hybrid,9,1.0,0,4,Yes
EMP-12380,Marketing,2011,Entry Level,48787,Never,13,3.0,0,3,No
EMP-12381,Engineering,2013,Mid Level,83032,Hybrid,11,2.0,0,99,Yes
EMP-12382,Marketing,2012,Mid Level,83656,Hybrid,12,1.0,0,8,No
EMP-12383,Sales,2016,Entry Level,54042,Hybrid,8,4.0,1,11,No
EMP-12384,Engineering,2022,Senior,125166,Hybrid,2,5.0,1,8,No
EMP-12385,Finance,2020,Mid Level,85171,Never,4,1.0,2,7,Yes
EMP-12386,Sales,2011,Entry Level,49557,Hybrid,13,5.0,0,37,Yes
EMP-12387,Engineering,2017,Mid Level,83683,Hybrid,7,4.0,0,9,No
EMP-12388,Engineering,2020,Executive,200355,Hybrid,4,3.0,1,2,No
EMP-12389,HR,2012,Senior,132063,Never,12,,0,13,No
EMP-12390,HR,2016,Entry Level,49862,Never,8,,1,10,No
EMP-12391,Engineering,2018,Mid Level,87710,Hybrid,6,4.0,1,13,No
EMP-12392,Sales,2021,Mid Level,86031,Hybrid,3,1.0,1,8,No
EMP-12393,Finance,2010,Entry Level,48750,Fully Remote,14,2.0,0,2,Yes
EMP-12394,HR,2020,Senior,125028,Never,4,5.0,0,1,No
EMP-12395,Engineering,2010,Entry Level,54933,Hybrid,14,5.0,0,1,No
EMP-12396,Engineering,2022,Mid Level,86249,Hybrid,2,1.0,2,13,No
EMP-12397,Engineering,2019,Mid Level,83500,Fully Remote,5,4.0,0,14,No
EMP-12398,Engineering,2018,Mid Level,87570,Fully Remote,6,,1,1,No
EMP-12399,Engineering,2014,Senior,126003,Hybrid,10,4.0,1,39,Yes
EMP-12400,Engineering,2022,Mid Level,84498,Hybrid,2,1.0,2,32,Yes
EMP-12401,Engineering,2019,Entry Level,53734,Hybrid,5,5.0,1,7,Yes
EMP-12402,Engineering,2012,Mid Level,82470,Hybrid,12,3.0,2,12,No
EMP-12403,Engineering,2018,Entry Level,53470,Hybrid,6,2.0,1,8,No
EMP-12404,Finance,2015,Entry Level,50477,Hybrid,9,3.0,0,11,No
EMP-12405,Sales,2014,Senior,133638,Hybrid,10,1.0,2,18,No
EMP-12406,Engineering,2012,Entry Level,45423,Hybrid,12,2.0,0,22,Yes
EMP-12407,Engineering,2013,Mid Level,81497,Hybrid,11,4.0,2,13,No
EMP-12408,Engineering,2015,Mid Level,83060,Never,9,1.0,0,2,No
EMP-12409,Sales,2020,Mid Level,81990,Fully Remote,4,3.0,0,29,No
EMP-12410,HR,2014,Entry Level,45054,Hybrid,10,3.0,1,46,No
EMP-12411,Engineering,2020,Entry Level,53015,Hybrid,4,5.0,2,10,No
EMP-12412,Marketing,2013,Mid Level,87993,Hybrid,11,1.0,1,29,Yes
EMP-12413,Sales,2020,Senior,127764,Never,4,1.0,1,34,No
EMP-12414,Engineering,2011,Executive,200584,Never,13,2.0,1,5,No
EMP-12415,Marketing,2014,Entry Level,47003,Fully Remote,10,,0,2,No
EMP-12416,Engineering,2023,Entry Level,49610,Never,1,3.0,0,5,Yes
EMP-12417,Sales,2012,Mid Level,82392,Fully Remote,12,2.0,0,6,Yes
EMP-12418,Sales,2013,Mid Level,88928,Hybrid,11,5.0,1,48,No
EMP-12419,Sales,2022,Entry Level,52675,Never,2,3.0,2,14,Yes
EMP-12420,Engineering,2019,Entry Level,45466,Hybrid,5,5.0,0,24,Yes
EMP-12421,Sales,2019,Mid Level,85464,Hybrid,5,1.0,0,23,No
EMP-12422,HR,2022,Senior,125151,Hybrid,2,2.0,0,2,Yes
EMP-12423,Sales,2012,Entry Level,49728,Hybrid,12,4.0,1,5,No
EMP-12424,Sales,2018,Mid Level,87261,Hybrid,6,3.0,0,46,No
EMP-12425,Engineering,2016,Mid Level,88886,Hybrid,8,1.0,2,0,No
EMP-12426,Finance,2021,Entry Level,54491,Hybrid,3,3.0,0,34,No
EMP-12427,Sales,2023,Mid Level,89059,Hybrid,1,5.0,0,15,No
EMP-12428,Marketing,2019,Entry Level,49084,Hybrid,5,1.0,0,6,Yes
EMP-12429,Engineering,2010,Senior,131828,Fully Remote,14,1.0,0,114,Yes
EMP-12430,Sales,2010,Mid Level,87850,Hybrid,14,4.0,0,2,No
EMP-12431,Marketing,2010,Entry Level,50113,Hybrid,14,2.0,2,11,No
EMP-12432,Finance,2018,Mid Level,86562,Hybrid,6,4.0,0,12,No
EMP-12433,Engineering,2023,Senior,133989,Hybrid,1,2.0,1,30,Yes
EMP-12434,Marketing,2019,Mid Level,89584,Never,5,3.0,1,18,No
EMP-12435,Sales,2015,Mid Level,87247,Hybrid,9,3.0,0,24,No
EMP-12436,Engineering,2022,Mid Level,82220,Hybrid,2,3.0,0,19,No
EMP-12437,Engineering,2010,Entry Level,50156,Never,14,2.0,1,1,No
EMP-12438,Engineering,2012,Entry Level,52461,Fully Remote,12,5.0,0,22,Yes
EMP-12439,Engineering,2017,Mid Level,88282,Hybrid,7,5.0,0,9,No
EMP-12440,Marketing,2012,Entry Level,48504,Fully Remote,12,5.0,0,37,No
EMP-12441,HR,2011,Entry Level,48473,Hybrid,13,2.0,0,13,No
EMP-12442,Sales,2017,Entry Level,47664,Hybrid,7,1.0,1,11,Yes
EMP-12443,Sales,2020,Entry Level,46844,Never,4,4.0,0,31,Yes
EMP-12444,Finance,2016,Entry Level,53987,Fully Remote,8,2.0,0,13,Yes
EMP-12445,Sales,2021,Mid Level,80137,Hybrid,3,3.0,0,33,No
EMP-12446,Engineering,2017,Entry Level,49852,Never,7,5.0,0,4,No
EMP-12447,Finance,2011,Entry Level,46692,Hybrid,13,4.0,2,2,No
EMP-12448,Sales,2012,Entry Level,47268,Hybrid,12,1.0,2,12,Yes
EMP-12449,Engineering,2012,Mid Level,83575,Hybrid,12,2.0,0,0,No
EMP-12450,Engineering,2010,Entry Level,50816,Fully Remote,14,2.0,1,14,No
EMP-12451,Finance,2014,Entry Level,54193,Never,10,2.0,1,5,No
EMP-12452,Engineering,2020,Entry Level,49069,Hybrid,4,1.0,0,2,Yes
EMP-12453,Finance,2019,Mid Level,88424,Hybrid,5,5.0,0,48,No
EMP-12454,Marketing,2012,Mid Level,80244,Hybrid,12,1.0,0,9,No
EMP-12455,Sales,2021,Mid Level,81937,Hybrid,3,3.0,2,21,No
EMP-12456,Marketing,2020,Entry Level,48936,Hybrid,4,2.0,1,2,Yes
EMP-12457,Marketing,2018,Entry Level,49313,Hybrid,6,1.0,0,5,Yes
EMP-12458,Finance,2017,Senior,133513,Hybrid,7,3.0,0,22,No
EMP-12459,Engineering,2022,Mid Level,86525,Never,2,1.0,0,1,No
EMP-12460,Sales,2019,Mid Level,80834,Fully Remote,5,4.0,0,82,No
EMP-12461,Sales,2016,Senior,133412,Hybrid,8,1.0,1,15,No
EMP-12462,Engineering,2011,Entry Level,49993,Fully Remote,13,1.0,1,20,No
EMP-12463,Engineering,2015,Entry Level,54876,Hybrid,9,5.0,1,12,No
EMP-12464,Engineering,2022,Mid Level,80420,Hybrid,2,4.0,0,16,No
EMP-12465,Finance,2012,Senior,128371,Fully Remote,12,3.0,0,21,No
EMP-12466,Engineering,2023,Mid Level,89614,Hybrid,1,4.0,2,10,No
EMP-12467,Sales,2010,Mid Level,81067,Hybrid,14,3.0,2,3,No
EMP-12468,Engineering,2013,Executive,199120,Never,11,5.0,2,13,No
EMP-12469,HR,2010,Mid Level,88302,Never,14,1.0,1,2,No
EMP-12470,Engineering,2015,Entry Level,52384,Never,9,3.0,0,3,Yes
EMP-12471,Sales,2017,Entry Level,47278,Hybrid,7,3.0,0,20,Yes
EMP-12472,Sales,2022,Mid Level,81757,Hybrid,2,3.0,0,18,No
EMP-12473,Engineering,2019,Mid Level,86448,Never,5,4.0,1,1,No
EMP-12474,Sales,2012,Mid Level,89973,Fully Remote,12,2.0,0,25,No
EMP-12475,Marketing,2011,Entry Level,52058,Hybrid,13,1.0,0,12,No
EMP-12476,Sales,2013,Mid Level,86822,Hybrid,11,3.0,1,4,No
EMP-12477,Engineering,2022,Entry Level,51913,Never,2,2.0,2,23,No
EMP-12478,Engineering,2020,Mid Level,89096,Never,4,1.0,0,7,No
EMP-12479,Finance,2023,Mid Level,81615,Hybrid,1,4.0,0,24,No
EMP-12480,Finance,2010,Senior,128669,Never,14,4.0,0,10,No
EMP-12481,Engineering,2019,Mid Level,83448,Hybrid,5,,1,5,No
EMP-12482,Sales,2020,Mid Level,86812,Never,4,4.0,1,0,No
EMP-12483,Sales,2017,Mid Level,80260,Fully Remote,7,2.0,0,6,Yes
EMP-12484,Sales,2016,Senior,126254,Fully Remote,8,5.0,2,2,No
EMP-12485,Marketing,2016,Executive,203297,Never,8,5.0,1,27,No
EMP-12486,Engineering,2020,Mid Level,87194,Hybrid,4,4.0,1,1,No
EMP-12487,Marketing,2013,Senior,131153,Hybrid,11,3.0,1,5,No
EMP-12488,Engineering,2017,Entry Level,51512,Hybrid,7,1.0,1,3,Yes
EMP-12489,Engineering,2010,Senior,132955,Fully Remote,14,4.0,0,1,No
EMP-12490,Engineering,2022,Mid Level,80782,Fully Remote,2,5.0,0,0,No
EMP-12491,Sales,2022,Entry Level,48146,Hybrid,2,5.0,0,0,No
EMP-12492,Sales,2018,Mid Level,83382,Hybrid,6,1.0,2,1,Yes
EMP-12493,HR,2022,Mid Level,81716,Hybrid,2,5.0,1,0,No
EMP-12494,Sales,2010,Entry Level,48978,Hybrid,14,5.0,1,11,No
EMP-12495,Sales,2014,Mid Level,85180,Hybrid,10,2.0,1,2,Yes
EMP-12496,Sales,2015,Mid Level,89114,Hybrid,9,1.0,0,15,No
EMP-12497,Marketing,2022,Entry Level,51844,Hybrid,2,4.0,1,19,No
EMP-12498,Sales,2018,Entry Level,49565,Hybrid,6,3.0,0,30,No
EMP-12499,Sales,2017,Mid Level,88921,Hybrid,7,5.0,1,5,No
EMP-12500,Finance,2011,Entry Level,45256,Never,13,3.0,2,12,No
EMP-12501,Sales,2013,Senior,129379,Hybrid,11,4.0,0,7,No
EMP-12502,Engineering,2013,Mid Level,88310,Hybrid,11,5.0,0,19,No
EMP-12503,Sales,2022,Entry Level,46017,Hybrid,2,2.0,0,6,Yes
EMP-12504,Marketing,2021,Senior,132123,Hybrid,3,2.0,1,1,Yes
EMP-12505,Finance,2018,Entry Level,50108,Fully Remote,6,1.0,0,28,Yes
EMP-12506,Sales,2018,Executive,196660,Hybrid,6,4.0,0,3,Yes
EMP-12507,Sales,2018,Senior,127923,Hybrid,6,5.0,0,22,No
EMP-12508,Engineering,2021,Senior,125841,Never,3,4.0,0,27,No
EMP-12509,Marketing,2015,Mid Level,87394,Fully Remote,9,2.0,0,23,Yes
EMP-12510,Engineering,2022,Senior,126364,Never,2,,1,27,No
EMP-12511,Marketing,2012,Mid Level,81263,Hybrid,12,4.0,0,19,No
EMP-12512,Engineering,2012,Entry Level,50786,Hybrid,12,2.0,0,12,No
EMP-12513,Marketing,2020,Entry Level,51122,Hybrid,4,3.0,0,4,No
EMP-12514,Sales,2018,Entry Level,47280,Fully Remote,6,2.0,0,4,Yes
EMP-12515,Engineering,2022,Entry Level,47648,Hybrid,2,3.0,0,5,Yes
EMP-12516,Sales,2012,Senior,127702,Hybrid,12,2.0,0,5,Yes
EMP-12517,Marketing,2021,Executive,199561,Fully Remote,3,3.0,0,6,No
EMP-12518,Marketing,2020,Entry Level,53215,Fully Remote,4,2.0,0,2,No
EMP-12519,Engineering,2017,Mid Level,82954,Hybrid,7,1.0,1,14,No
EMP-12520,Sales,2015,Entry Level,46281,Hybrid,9,2.0,2,0,No
EMP-12521,Sales,2013,Mid Level,89089,Fully Remote,11,3.0,0,18,Yes
EMP-12522,Marketing,2012,Senior,130104,Hybrid,12,3.0,0,0,Yes
EMP-12523,Sales,2022,Senior,125996,Fully Remote,2,4.0,1,9,No
EMP-12524,Engineering,2017,Entry Level,45899,Hybrid,7,4.0,0,14,No
EMP-12525,Sales,2021,Mid Level,80211,Hybrid,3,4.0,0,27,No
EMP-12526,Sales,2023,Mid Level,84272,Never,1,3.0,1,13,No
EMP-12527,Finance,2014,Mid Level,80284,Hybrid,10,5.0,0,18,No
EMP-12528,Sales,2019,Mid Level,81921,Hybrid,5,4.0,1,1,No
EMP-12529,Finance,2023,Mid Level,82698,Fully Remote,1,1.0,1,4,Yes
EMP-12530,Engineering,2019,Executive,197076,Hybrid,5,2.0,0,13,Yes
EMP-12531,Sales,2010,Entry Level,46076,Hybrid,14,3.0,0,9,Yes
EMP-12532,Marketing,2010,Senior,129865,Hybrid,14,2.0,1,14,Yes
EMP-12533,Engineering,2015,Entry Level,53237,Never,9,1.0,0,35,Yes
EMP-12534,Sales,2018,Entry Level,54092,Hybrid,6,2.0,0,24,Yes
EMP-12535,Engineering,2014,Entry Level,47648,Hybrid,10,5.0,0,0,Yes
EMP-12536,Engineering,2010,Entry Level,48602,Hybrid,14,4.0,0,9,No
EMP-12537,Marketing,2021,Mid Level,87693,Hybrid,3,,0,31,Yes
EMP-12538,Finance,2015,Senior,128508,Fully Remote,9,5.0,0,32,Yes
EMP-12539,Engineering,2021,Executive,196239,Never,3,3.0,1,1,No
EMP-12540,HR,2022,Mid Level,81678,Fully Remote,2,2.0,0,11,No
EMP-12541,Engineering,2010,Mid Level,82397,Hybrid,14,3.0,0,12,No
EMP-12542,Finance,2013,Mid Level,86510,Fully Remote,11,3.0,2,9,No
EMP-12543,Engineering,2013,Entry Level,51028,Hybrid,11,4.0,1,23,No
EMP-12544,Finance,2010,Entry Level,47712,Hybrid,14,3.0,1,1,No
EMP-12545,Engineering,2015,Entry Level,47025,Hybrid,9,4.0,1,10,Yes
EMP-12546,Engineering,2012,Entry Level,48491,Never,12,3.0,0,12,No
EMP-12547,HR,2020,Mid Level,81617,Fully Remote,4,2.0,0,7,Yes
EMP-12548,Engineering,2020,Senior,129860,Hybrid,4,1.0,0,3,Yes
EMP-12549,Finance,2022,Mid Level,80104,Never,2,5.0,0,26,No
EMP-12550,Engineering,2014,Senior,134633,Never,10,1.0,0,0,Yes
EMP-12551,Sales,2012,Executive,195293,Never,12,1.0,1,67,Yes
EMP-12552,Sales,2021,Senior,130728,Hybrid,3,4.0,2,1,No
EMP-12553,HR,2021,Mid Level,80387,Fully Remote,3,2.0,1,23,No
EMP-12554,Engineering,2011,Mid Level,82221,Never,13,1.0,0,25,Yes
EMP-12555,HR,2022,Mid Level,84983,Fully Remote,2,2.0,2,20,No
EMP-12556,Engineering,2022,Mid Level,84507,Fully Remote,2,1.0,0,8,No
EMP-12557,Marketing,2018,Senior,130799,Fully Remote,6,2.0,0,3,No
EMP-12558,Finance,2020,Senior,130192,Hybrid,4,5.0,1,9,No
EMP-12559,Marketing,2016,Entry Level,48540,Hybrid,8,1.0,1,1,Yes
EMP-12560,Finance,2017,Entry Level,48111,Fully Remote,7,3.0,1,25,No
EMP-12561,Sales,2017,Mid Level,82416,Fully Remote,7,5.0,0,19,Yes
EMP-12562,Sales,2020,Senior,128919,Hybrid,4,5.0,0,30,Yes
EMP-12563,Engineering,2019,Mid Level,85659,Fully Remote,5,3.0,2,5,No
EMP-12564,Finance,2016,Entry Level,48941,Hybrid,8,4.0,0,14,No
EMP-12565,Sales,2019,Mid Level,88967,Hybrid,5,1.0,1,39,No
EMP-12566,Marketing,2019,Mid Level,80256,Hybrid,5,2.0,0,1,Yes
EMP-12567,Finance,2015,Mid Level,82674,Hybrid,9,3.0,2,9,No
EMP-12568,Sales,2018,Entry Level,54870,Hybrid,6,2.0,1,0,Yes
EMP-12569,Finance,2012,Entry Level,48310,Hybrid,12,1.0,1,3,No
EMP-12570,Engineering,2014,Executive,202752,Fully Remote,10,4.0,2,60,Yes
EMP-12571,Engineering,2018,Executive,200560,Never,6,2.0,0,3,Yes
EMP-12572,Sales,2021,Entry Level,49310,Hybrid,3,3.0,1,12,No
EMP-12573,Engineering,2020,Mid Level,85669,Fully Remote,4,2.0,1,27,Yes
EMP-12574,Marketing,2011,Entry Level,50485,Hybrid,13,5.0,0,4,No
EMP-12575,Finance,2014,Senior,133141,Hybrid,10,2.0,0,1,No
EMP-12576,Engineering,2019,Entry Level,50717,Hybrid,5,2.0,1,43,No
EMP-12577,Sales,2012,Mid Level,83282,Fully Remote,12,1.0,0,0,Yes
EMP-12578,Engineering,2014,Mid Level,83686,Hybrid,10,5.0,0,33,No
EMP-12579,Marketing,2020,Entry Level,50348,Never,4,3.0,1,50,Yes
EMP-12580,Sales,2012,Mid Level,85160,Fully Remote,12,2.0,2,11,Yes
EMP-12581,Sales,2017,Mid Level,89021,Never,7,5.0,1,21,No
EMP-12582,HR,2020,Entry Level,45980,Fully Remote,4,3.0,0,26,No
EMP-12583,Engineering,2016,Mid Level,88495,Never,8,,1,53,Yes
EMP-12584,Engineering,2019,Senior,126166,Hybrid,5,5.0,0,7,No
EMP-12585,Engineering,2023,Mid Level,88543,Hybrid,1,4.0,0,57,No
EMP-12586,Sales,2018,Mid Level,89052,Hybrid,6,4.0,0,7,No
EMP-12587,Sales,2011,Mid Level,81657,Fully Remote,13,3.0,1,20,No
EMP-12588,Sales,2015,Senior,129866,Hybrid,9,5.0,2,2,No
EMP-12589,Sales,2014,Mid Level,81738,Hybrid,10,3.0,2,71,No
EMP-12590,Sales,2012,Mid Level,88923,Never,12,5.0,0,12,No
EMP-12591,Sales,2016,Senior,129540,Never,8,4.0,0,11,No
EMP-12592,Finance,2020,Executive,195866,Hybrid,4,3.0,0,2,No
EMP-12593,Engineering,2016,Mid Level,81652,Fully Remote,8,3.0,0,3,Yes
EMP-12594,Sales,2017,Entry Level,49453,Never,7,4.0,2,0,Yes
EMP-12595,Sales,2011,Mid Level,81932,Fully Remote,13,3.0,0,5,Yes
EMP-12596,Engineering,2021,Mid Level,85931,Hybrid,3,5.0,0,12,No
EMP-12597,Marketing,2010,Senior,129020,Fully Remote,14,5.0,1,19,No
EMP-12598,Engineering,2011,Mid Level,89033,Hybrid,13,4.0,0,8,No
EMP-12599,Finance,2021,Senior,130561,Never,3,1.0,1,2,Yes
EMP-12600,Sales,2019,Entry Level,54846,Hybrid,5,4.0,0,43,Yes
EMP-12601,Engineering,2014,Senior,133793,Hybrid,10,5.0,1,13,No
EMP-12602,Sales,2019,Entry Level,52794,Hybrid,5,5.0,0,13,No
EMP-12603,Marketing,2023,Mid Level,86450,Fully Remote,1,3.0,1,5,No
EMP-12604,Sales,2011,Mid Level,88944,Hybrid,13,1.0,0,3,Yes
EMP-12605,Finance,2015,Senior,130597,Fully Remote,9,3.0,1,15,No
EMP-12606,Sales,2017,Entry Level,47516,Hybrid,7,5.0,1,1,No
EMP-12607,HR,2023,Mid Level,82547,Hybrid,1,2.0,1,14,No
EMP-12608,Marketing,2011,Entry Level,50897,Fully Remote,13,4.0,1,7,No
EMP-12609,Marketing,2018,Entry Level,48669,Fully Remote,6,4.0,1,21,No
EMP-12610,Engineering,2014,Senior,133093,Never,10,4.0,0,11,No
EMP-12611,HR,2021,Executive,197261,Fully Remote,3,5.0,0,11,No
EMP-12612,HR,2011,Entry Level,45058,Hybrid,13,2.0,1,21,Yes
EMP-12613,Sales,2015,Entry Level,45875,Fully Remote,9,,0,12,Yes
EMP-12614,Engineering,2016,Entry Level,52111,Hybrid,8,4.0,1,15,No
EMP-12615,Sales,2020,Entry Level,50685,Hybrid,4,3.0,0,6,No
EMP-12616,Engineering,2018,Entry Level,45984,Hybrid,6,1.0,0,8,No
EMP-12617,Engineering,2022,Mid Level,84110,Hybrid,2,2.0,0,16,No
EMP-12618,Sales,2019,Mid Level,85229,Hybrid,5,5.0,1,9,No
EMP-12619,Sales,2010,Entry Level,46677,Hybrid,14,4.0,0,7,Yes
EMP-12620,Finance,2016,Mid Level,83131,Hybrid,8,2.0,1,3,No
EMP-12621,Finance,2017,Mid Level,80598,Hybrid,7,1.0,1,13,No
EMP-12622,Engineering,2017,Entry Level,50713,Fully Remote,7,4.0,0,8,No
EMP-12623,Engineering,2021,Entry Level,52102,Hybrid,3,4.0,0,2,Yes
EMP-12624,Engineering,2019,Entry Level,54153,Hybrid,5,3.0,0,47,Yes
EMP-12625,Finance,2010,Mid Level,85932,Hybrid,14,3.0,0,8,No
EMP-12626,Engineering,2013,Senior,126042,Hybrid,11,3.0,0,28,No
EMP-12627,Sales,2016,Mid Level,85493,Hybrid,8,3.0,0,10,No
EMP-12628,Finance,2019,Mid Level,89310,Fully Remote,5,5.0,0,14,No
EMP-12629,Sales,2023,Entry Level,50324,Hybrid,1,3.0,2,31,No
EMP-12630,Sales,2019,Entry Level,47435,Hybrid,5,5.0,0,9,No
EMP-12631,Sales,2014,Entry Level,50725,Fully Remote,10,3.0,2,12,No
EMP-12632,Sales,2015,Mid Level,87845,Hybrid,9,3.0,0,0,Yes
EMP-12633,Marketing,2012,Entry Level,46261,Hybrid,12,1.0,0,37,Yes
EMP-12634,Engineering,2017,Mid Level,83045,Hybrid,7,3.0,0,9,No
EMP-12635,Finance,2016,Entry Level,53169,Fully Remote,8,3.0,0,4,No
EMP-12636,HR,2018,Mid Level,83006,Never,6,2.0,0,2,No
EMP-12637,Engineering,2017,Senior,129121,Hybrid,7,1.0,1,19,No
EMP-12638,Engineering,2013,Mid Level,87668,Never,11,1.0,1,4,No
EMP-12639,Sales,2013,Entry Level,48832,Never,11,1.0,1,8,Yes
EMP-12640,Engineering,2020,Mid Level,86210,Fully Remote,4,2.0,0,50,Yes
EMP-12641,Engineering,2018,Entry Level,54863,Hybrid,6,3.0,1,27,No
EMP-12642,Sales,2011,Entry Level,48557,Hybrid,13,2.0,0,15,Yes
EMP-12643,Sales,2021,Senior,133418,Hybrid,3,4.0,1,47,No
EMP-12644,HR,2019,Mid Level,87394,Hybrid,5,2.0,1,12,No
EMP-12645,Sales,2012,Mid Level,80411,Never,12,3.0,1,12,No
EMP-12646,Engineering,2023,Mid Level,82037,Never,1,2.0,1,3,No
EMP-12647,Sales,2023,Mid Level,87737,Hybrid,1,3.0,0,11,No
EMP-12648,HR,2019,Mid Level,80644,Fully Remote,5,2.0,1,15,No
EMP-12649,Marketing,2020,Mid Level,86977,Hybrid,4,1.0,0,0,No
EMP-12650,Engineering,2022,Entry Level,49309,Never,2,4.0,0,2,No
EMP-12651,Engineering,2022,Entry Level,53191,Hybrid,2,4.0,1,0,No
EMP-12652,Sales,2012,Entry Level,46677,Hybrid,12,2.0,0,22,Yes
EMP-12653,HR,2014,Mid Level,85737,Hybrid,10,5.0,0,2,Yes
EMP-12654,Sales,2021,Mid Level,89747,Hybrid,3,2.0,1,30,Yes
EMP-12655,Marketing,2015,Mid Level,87939,Fully Remote,9,4.0,1,12,No
EMP-12656,Marketing,2016,Senior,129380,Hybrid,8,2.0,0,13,No
EMP-12657,Engineering,2014,Mid Level,83493,Hybrid,10,4.0,1,15,No
EMP-12658,Sales,2014,Entry Level,48119,Fully Remote,10,3.0,0,16,No
EMP-12659,Marketing,2020,Mid Level,84823,Hybrid,4,4.0,0,30,No
EMP-12660,Marketing,2019,Mid Level,89556,Fully Remote,5,3.0,0,6,No
EMP-12661,Sales,2010,Senior,132964,Hybrid,14,5.0,1,12,Yes
EMP-12662,Engineering,2016,Entry Level,54443,Fully Remote,8,1.0,0,5,No
EMP-12663,Finance,2019,Senior,127824,Fully Remote,5,5.0,0,0,No
EMP-12664,Engineering,2019,Senior,128097,Fully Remote,5,3.0,0,8,No
EMP-12665,Sales,2010,Senior,129470,Hybrid,14,3.0,1,11,No
EMP-12666,Engineering,2017,Entry Level,50241,Never,7,2.0,1,19,No
EMP-12667,Sales,2011,Mid Level,88198,Never,13,1.0,1,8,Yes
EMP-12668,Marketing,2016,Executive,203704,Hybrid,8,4.0,1,4,No
EMP-12669,Sales,2018,Senior,134019,Hybrid,6,2.0,0,26,Yes
