Employee_ID,Department,Hire_Year,Salary_Band,Annual_Salary,Remote_Work,Tenure_Years,Manager_Satisfaction,Promotions_Last_5_Years,Overtime_Hours_Per_Month,Attrition,Attrition_Probability,Flight_Risk_Tier,Estimated_Cost_of_Turnover
EMP-11457,Marketing,2019,Mid Level,89636,Fully Remote,5,1.0,0,25,Yes,0.5084181999186357,Medium Risk,17927.2
EMP-11458,Engineering,2020,Mid Level,82473,Never,4,3.0,1,31,No,0.36893704335174315,Medium Risk,16494.600000000002
EMP-11459,Sales,2015,Entry Level,54033,Hybrid,9,4.0,0,2,No,0.37418148682133895,Medium Risk,10806.6
EMP-11460,Engineering,2021,Mid Level,81838,Hybrid,3,1.0,0,6,No,0.3552800355879686,Medium Risk,16367.6
EMP-11461,Marketing,2019,Entry Level,47340,Fully Remote,5,5.0,1,3,No,0.2004419119952486,Low Risk,9468.0
EMP-11462,Sales,2012,Executive,195835,Fully Remote,12,5.0,0,27,No,0.21053635550344546,Low Risk,39167.0
EMP-11463,Engineering,2019,Mid Level,81671,Never,5,1.0,0,3,Yes,0.5759133595791137,Medium Risk,16334.2
EMP-11464,Engineering,2011,Executive,198354,Hybrid,13,1.0,0,19,Yes,0.6120689701065737,Medium Risk,39670.8
EMP-11465,Sales,2011,Mid Level,81766,Hybrid,13,2.0,1,15,No,0.31407858636958275,Low Risk,16353.2
EMP-11466,Marketing,2016,Entry Level,49999,Hybrid,8,3.0,0,69,No,0.4188465334823354,Medium Risk,9999.800000000001
EMP-11467,Sales,2017,Entry Level,51817,Hybrid,7,2.0,0,0,Yes,0.64118598783825,Medium Risk,10363.400000000001
EMP-11468,Sales,2016,Mid Level,83747,Hybrid,8,1.0,0,1,No,0.5082029027293388,Medium Risk,16749.4
EMP-11469,Sales,2012,Mid Level,89470,Never,12,3.0,1,71,Yes,0.4866558524784357,Medium Risk,17894.0
EMP-11470,Sales,2023,Mid Level,87371,Fully Remote,1,1.0,0,18,No,0.3411976324033047,Low Risk,17474.2
EMP-11471,Marketing,2017,Senior,127113,Hybrid,7,3.0,0,1,No,0.2372960105253363,Low Risk,25422.600000000002
EMP-11472,Marketing,2011,Entry Level,48805,Hybrid,13,3.0,1,19,No,0.16399808548803285,Low Risk,9761.0
EMP-11473,Sales,2021,Senior,134964,Fully Remote,3,3.0,2,42,No,0.1998356470861695,Low Risk,26992.800000000003
EMP-11474,Marketing,2021,Senior,133233,Hybrid,3,5.0,0,2,No,0.14193631243460225,Low Risk,26646.600000000002
EMP-11475,Sales,2014,Senior,129815,Hybrid,10,2.0,0,4,Yes,0.547961679593091,Medium Risk,25963.0
EMP-11476,Marketing,2014,Entry Level,50175,Hybrid,10,1.0,1,1,Yes,0.49956223871769523,Medium Risk,10035.0
EMP-11477,HR,2020,Mid Level,82935,Fully Remote,4,4.0,1,1,No,0.09412612495324811,Low Risk,16587.0
EMP-11478,Engineering,2021,Mid Level,80659,Hybrid,3,1.0,0,9,No,0.3369286270964033,Low Risk,16131.800000000001
EMP-11479,Engineering,2012,Mid Level,82882,Hybrid,12,4.0,1,5,No,0.089226641459376,Low Risk,16576.4
EMP-11480,Engineering,2023,Mid Level,85416,Fully Remote,1,2.0,2,6,Yes,0.34630772504842156,Low Risk,17083.2
EMP-11481,Sales,2023,Entry Level,49938,Hybrid,1,1.0,0,7,No,0.49848831617825345,Medium Risk,9987.6
EMP-11482,Engineering,2010,Entry Level,52584,Hybrid,14,1.0,2,3,Yes,0.4757746642394662,Medium Risk,10516.800000000001
EMP-11483,Engineering,2018,Mid Level,88444,Hybrid,6,5.0,1,69,No,0.3004318108205066,Low Risk,17688.8
EMP-11484,Sales,2015,Mid Level,82261,Never,9,1.0,0,27,No,0.5488984704457098,Medium Risk,16452.2
EMP-11485,Marketing,2017,Mid Level,84527,Hybrid,7,1.0,0,2,No,0.4970491734623243,Medium Risk,16905.4
EMP-11486,Engineering,2020,Mid Level,86959,Hybrid,4,5.0,1,1,No,0.09088666869768497,Low Risk,17391.8
EMP-11487,Engineering,2021,Entry Level,53751,Hybrid,3,2.0,1,51,Yes,0.6641857177531965,High Risk,10750.2
EMP-11488,Sales,2013,Mid Level,82330,Hybrid,11,4.0,0,3,No,0.24942724966786173,Low Risk,16466.0
EMP-11489,Sales,2019,Entry Level,48912,Never,5,3.0,0,4,No,0.3668401653211228,Medium Risk,9782.4
EMP-11490,Marketing,2012,Entry Level,50305,Never,12,2.0,2,12,No,0.5118742127434625,Medium Risk,10061.0
EMP-11491,Sales,2010,Senior,131678,Hybrid,14,3.0,0,5,No,0.22011632390627706,Low Risk,26335.600000000002
EMP-11492,Sales,2018,Mid Level,80105,Hybrid,6,1.0,1,2,No,0.32875573715692225,Low Risk,16021.0
EMP-11493,Engineering,2014,Senior,125906,Hybrid,10,4.0,0,30,No,0.25308287308645366,Low Risk,25181.2
EMP-11494,Engineering,2016,Entry Level,47106,Hybrid,8,3.0,0,23,Yes,0.3183135741833189,Low Risk,9421.2
EMP-11495,Engineering,2011,Mid Level,89059,Hybrid,13,1.0,1,3,No,0.32642849200689644,Low Risk,17811.8
EMP-11496,Finance,2023,Executive,195178,Fully Remote,1,1.0,0,5,Yes,0.383839065037464,Medium Risk,39035.6
EMP-11497,Sales,2020,Entry Level,46502,Hybrid,4,2.0,1,23,No,0.4017927689013907,Medium Risk,9300.4
EMP-11498,Engineering,2013,Entry Level,49049,Hybrid,11,5.0,1,3,No,0.19050628169243086,Low Risk,9809.800000000001
EMP-11499,Engineering,2019,Mid Level,83238,Hybrid,5,4.0,1,3,No,0.09788553520993623,Low Risk,16647.600000000002
EMP-11500,Marketing,2018,Senior,131278,Never,6,5.0,0,0,No,0.27792047265260994,Low Risk,26255.600000000002
EMP-11501,Engineering,2010,Senior,130392,Hybrid,14,2.0,0,1,No,0.6155294262972852,Medium Risk,26078.4
EMP-11502,Finance,2011,Entry Level,50530,Hybrid,13,1.0,1,23,No,0.4395483584474756,Medium Risk,10106.0
EMP-11503,Engineering,2013,Entry Level,52541,Hybrid,11,4.0,0,4,No,0.3294825005573806,Low Risk,10508.2
EMP-11504,Marketing,2015,Senior,134549,Never,9,3.0,0,7,Yes,0.30025625107191223,Low Risk,26909.800000000003
EMP-11505,Engineering,2012,Mid Level,81539,Hybrid,12,3.0,0,13,No,0.23975678854446136,Low Risk,16307.800000000001
EMP-11506,Engineering,2018,Entry Level,45449,Never,6,4.0,0,0,No,0.3995729305054596,Medium Risk,9089.800000000001
EMP-11507,Sales,2023,Entry Level,49905,Hybrid,1,4.0,0,16,Yes,0.3002779560582927,Low Risk,9981.0
EMP-11508,Sales,2012,Mid Level,81094,Hybrid,12,3.0,2,7,No,0.08097132874516323,Low Risk,16218.800000000001
EMP-11509,Engineering,2018,Mid Level,88404,Hybrid,6,5.0,0,63,No,0.4321749270086675,Medium Risk,17680.8
EMP-11510,Sales,2011,Entry Level,50340,Hybrid,13,3.0,1,20,No,0.1612339699023341,Low Risk,10068.0
EMP-11511,Marketing,2014,Mid Level,80716,Hybrid,10,3.0,2,0,No,0.08630353677766284,Low Risk,16143.2
EMP-11512,Engineering,2020,Mid Level,88103,Fully Remote,4,4.0,0,6,No,0.22078896862829755,Low Risk,17620.600000000002
EMP-11513,Engineering,2016,Mid Level,84517,Hybrid,8,2.0,2,16,Yes,0.36681496591873414,Medium Risk,16903.4
EMP-11514,Sales,2023,Mid Level,88406,Hybrid,1,4.0,0,17,No,0.1214485938888805,Low Risk,17681.2
EMP-11515,Sales,2022,Entry Level,50721,Never,2,5.0,1,18,No,0.24337215943376214,Low Risk,10144.2
EMP-11516,Finance,2012,Entry Level,47675,Fully Remote,12,3.0,0,13,Yes,0.35026254222833464,Medium Risk,9535.0
EMP-11517,Engineering,2014,Mid Level,86652,Hybrid,10,3.0,0,20,No,0.22515898519262018,Low Risk,17330.4
EMP-11518,Sales,2021,Entry Level,47369,Never,3,2.0,1,3,No,0.4353698057817953,Medium Risk,9473.800000000001
EMP-11519,Engineering,2018,Entry Level,54818,Hybrid,6,1.0,1,2,No,0.44540163211662237,Medium Risk,10963.6
EMP-11520,Engineering,2022,Mid Level,81258,Hybrid,2,2.0,0,34,No,0.5475800903470863,Medium Risk,16251.6
EMP-11521,Sales,2017,Entry Level,48672,Hybrid,7,1.0,1,6,Yes,0.4706713584116449,Medium Risk,9734.4
EMP-11522,Sales,2017,Mid Level,89924,Fully Remote,7,1.0,0,15,Yes,0.5360405397102329,Medium Risk,17984.8
EMP-11523,Sales,2013,Mid Level,84576,Hybrid,11,3.0,0,13,Yes,0.23823663659698135,Low Risk,16915.2
EMP-11524,Marketing,2014,Entry Level,45390,Hybrid,10,2.0,1,17,Yes,0.4360504060035721,Medium Risk,9078.0
EMP-11525,Sales,2021,Entry Level,52769,Never,3,4.0,0,6,Yes,0.33720996531354996,Low Risk,10553.800000000001
EMP-11526,Sales,2012,Senior,130086,Hybrid,12,2.0,0,0,No,0.5473173463733926,Medium Risk,26017.2
EMP-11527,Marketing,2019,Executive,200642,Fully Remote,5,1.0,0,3,Yes,0.500058948172725,Medium Risk,40128.4
EMP-11528,Finance,2014,Entry Level,47620,Fully Remote,10,3.0,0,13,No,0.3481676672080532,Low Risk,9524.0
EMP-11529,Sales,2019,Mid Level,81080,Hybrid,5,1.0,0,3,No,0.4993024021166283,Medium Risk,16216.0
EMP-11530,Marketing,2019,Entry Level,54721,Hybrid,5,3.0,0,8,No,0.36891735757093735,Medium Risk,10944.2
EMP-11531,Sales,2022,Entry Level,49231,Hybrid,2,1.0,2,0,Yes,0.5466005796573915,Medium Risk,9846.2
EMP-11532,Engineering,2015,Mid Level,86705,Never,9,5.0,1,7,No,0.16931300930989135,Low Risk,17341.0
EMP-11533,Sales,2016,Senior,126846,Hybrid,8,3.0,0,3,No,0.23682622291173774,Low Risk,25369.2
EMP-11534,Sales,2011,Mid Level,89864,Never,13,2.0,1,6,Yes,0.41728455542402876,Medium Risk,17972.8
EMP-11535,Engineering,2017,Mid Level,88187,Never,7,3.0,0,3,No,0.3006912006052065,Low Risk,17637.4
EMP-11536,Engineering,2014,Entry Level,48563,Never,10,1.0,0,52,Yes,0.8588747547702238,High Risk,9712.6
EMP-11537,Engineering,2018,Mid Level,81967,Fully Remote,6,5.0,1,5,No,0.09757547194375593,Low Risk,16393.4
EMP-11538,HR,2019,Entry Level,48491,Hybrid,5,5.0,1,13,Yes,0.20780482878361933,Low Risk,9698.2
EMP-11539,Finance,2019,Entry Level,51558,Hybrid,5,5.0,0,2,No,0.3534331535199584,Medium Risk,10311.6
EMP-11540,Engineering,2017,Entry Level,45899,Hybrid,7,1.0,0,16,No,0.5632175199658467,Medium Risk,9179.800000000001
EMP-11541,Engineering,2011,Entry Level,46817,Hybrid,13,4.0,1,19,No,0.17985212172748885,Low Risk,9363.4
EMP-11542,Engineering,2020,Mid Level,82258,Hybrid,4,2.0,0,39,No,0.6581429877384317,High Risk,16451.600000000002
EMP-11543,Engineering,2018,Entry Level,48646,Hybrid,6,3.0,1,16,No,0.1997427954498124,Low Risk,9729.2
EMP-11544,Engineering,2011,Mid Level,80068,Fully Remote,13,3.0,0,6,Yes,0.25182341010035747,Low Risk,16013.6
EMP-11545,Marketing,2018,Senior,134478,Hybrid,6,5.0,0,26,No,0.21953391083086976,Low Risk,26895.600000000002
EMP-11546,Sales,2023,Entry Level,46900,Fully Remote,1,4.0,0,52,No,0.42270044796836687,Medium Risk,9380.0
EMP-11547,Sales,2013,Entry Level,45749,Hybrid,11,3.0,0,15,No,0.3410413908605209,Low Risk,9149.800000000001
EMP-11548,Sales,2015,Entry Level,46389,Hybrid,9,2.0,0,4,Yes,0.601395657970639,Medium Risk,9277.800000000001
EMP-11549,HR,2021,Entry Level,54938,Fully Remote,3,4.0,1,11,No,0.13258472683615086,Low Risk,10987.6
EMP-11550,Marketing,2020,Mid Level,89922,Hybrid,4,3.0,1,31,No,0.22439097940856875,Low Risk,17984.4
EMP-11551,Engineering,2014,Mid Level,86792,Hybrid,10,3.0,0,6,No,0.23163817949798257,Low Risk,17358.4
EMP-11552,Finance,2022,Entry Level,53955,Hybrid,2,4.0,1,28,No,0.1434693991828005,Low Risk,10791.0
EMP-11553,Sales,2023,Mid Level,85177,Hybrid,1,1.0,0,33,Yes,0.526307795012027,Medium Risk,17035.4
EMP-11554,Marketing,2013,Senior,131854,Fully Remote,11,2.0,0,1,Yes,0.5275848609785487,Medium Risk,26370.800000000003
EMP-11555,Finance,2012,Mid Level,81168,Hybrid,12,3.0,1,6,No,0.0925948927356274,Low Risk,16233.6
EMP-11556,Engineering,2016,Mid Level,87466,Never,8,4.0,0,3,No,0.31554017281133295,Low Risk,17493.2
EMP-11557,Engineering,2010,Senior,134356,Hybrid,14,2.0,1,11,No,0.3925659028680314,Medium Risk,26871.2
EMP-11558,Sales,2016,Mid Level,86208,Never,8,1.0,1,21,Yes,0.41510101752104134,Medium Risk,17241.600000000002
EMP-11559,Engineering,2015,Mid Level,82988,Never,9,2.0,0,9,No,0.5647584022571784,Medium Risk,16597.600000000002
EMP-11560,Marketing,2021,Mid Level,87126,Fully Remote,3,1.0,1,8,No,0.2894665895598408,Low Risk,17425.2
EMP-11561,Sales,2017,Entry Level,54437,Fully Remote,7,4.0,0,14,No,0.350436297967614,Medium Risk,10887.400000000001
EMP-11562,Engineering,2019,Entry Level,50760,Hybrid,5,5.0,1,8,No,0.20910125733688223,Low Risk,10152.0
EMP-11563,Finance,2015,Mid Level,88160,Fully Remote,9,4.0,2,24,No,0.0972969953768561,Low Risk,17632.0
EMP-11564,Engineering,2022,Mid Level,88103,Hybrid,2,2.0,0,4,No,0.40250519590683603,Medium Risk,17620.600000000002
EMP-11565,Sales,2020,Mid Level,87715,Hybrid,4,1.0,1,16,No,0.3245762953276931,Low Risk,17543.0
EMP-11566,Sales,2021,Entry Level,54893,Hybrid,3,5.0,1,21,No,0.14579165477961425,Low Risk,10978.6
EMP-11567,Marketing,2013,Senior,126156,Hybrid,11,1.0,1,12,Yes,0.35939338504576823,Medium Risk,25231.2
EMP-11568,Marketing,2010,Senior,128615,Fully Remote,14,3.0,0,0,No,0.24496415042358946,Low Risk,25723.0
EMP-11569,Sales,2021,Mid Level,87356,Never,3,5.0,2,4,Yes,0.11371714574600009,Low Risk,17471.2
EMP-11570,Engineering,2019,Entry Level,51171,Hybrid,5,3.0,0,14,No,0.3305637475880929,Low Risk,10234.2
EMP-11571,Engineering,2022,Mid Level,87257,Never,2,5.0,1,19,No,0.09337703500758651,Low Risk,17451.4
EMP-11572,Engineering,2022,Mid Level,87899,Never,2,2.0,0,22,Yes,0.44453851680619605,Medium Risk,17579.8
EMP-11573,Engineering,2011,Entry Level,48176,Hybrid,13,4.0,0,14,No,0.32731410180009946,Low Risk,9635.2
EMP-11574,HR,2018,Mid Level,81533,Hybrid,6,3.0,0,2,No,0.23331982643729318,Low Risk,16306.6
EMP-11575,Sales,2017,Executive,202830,Fully Remote,7,1.0,0,9,No,0.5022279730030557,Medium Risk,40566.0
EMP-11576,Engineering,2013,Mid Level,80584,Hybrid,11,5.0,2,6,No,0.0859790496382532,Low Risk,16116.800000000001
EMP-11577,Sales,2016,Executive,199024,Hybrid,8,5.0,0,3,No,0.22115067571577135,Low Risk,39804.8
EMP-11578,Sales,2012,Mid Level,86843,Hybrid,12,2.0,1,2,Yes,0.3195384019107145,Low Risk,17368.600000000002
EMP-11579,Sales,2013,Mid Level,83168,Never,11,5.0,0,0,Yes,0.35902929283404483,Medium Risk,16633.600000000002
EMP-11580,Sales,2015,Entry Level,48032,Hybrid,9,3.0,1,5,No,0.1914876995094007,Low Risk,9606.4
EMP-11581,Engineering,2016,Entry Level,54972,Hybrid,8,5.0,0,11,No,0.33966908424854764,Low Risk,10994.400000000001
EMP-11582,Marketing,2020,Entry Level,54907,Fully Remote,4,1.0,1,1,Yes,0.5260147649304531,Medium Risk,10981.400000000001
EMP-11583,Sales,2014,Mid Level,85898,Hybrid,10,5.0,1,42,No,0.21156126076417864,Low Risk,17179.600000000002
EMP-11584,Engineering,2012,Mid Level,83375,Hybrid,12,3.0,0,11,No,0.24254327880962712,Low Risk,16675.0
EMP-11585,Marketing,2018,Mid Level,82182,Hybrid,6,5.0,0,37,Yes,0.5073642683890135,Medium Risk,16436.4
EMP-11586,Sales,2014,Mid Level,82156,Hybrid,10,3.0,0,15,No,0.23380088480416825,Low Risk,16431.2
EMP-11587,Finance,2023,Mid Level,82910,Hybrid,1,1.0,0,28,No,0.3629806754182614,Medium Risk,16582.0
EMP-11588,Marketing,2021,Mid Level,80877,Never,3,1.0,1,7,No,0.28570911730972626,Low Risk,16175.400000000001
EMP-11589,Marketing,2015,Mid Level,88149,Hybrid,9,1.0,0,3,Yes,0.5157855582479143,Medium Risk,17629.8
EMP-11590,Engineering,2010,Mid Level,83205,Hybrid,14,3.0,0,29,Yes,0.2677305326358635,Low Risk,16641.0
EMP-11591,HR,2021,Executive,201236,Fully Remote,3,4.0,2,67,Yes,0.5581135687766026,Medium Risk,40247.200000000004
EMP-11592,Sales,2018,Entry Level,52446,Fully Remote,6,3.0,0,10,No,0.3689013296109717,Medium Risk,10489.2
EMP-11593,Engineering,2023,Mid Level,87660,Hybrid,1,4.0,1,11,Yes,0.07052985028997297,Low Risk,17532.0
EMP-11594,Finance,2022,Entry Level,45189,Fully Remote,2,4.0,1,2,No,0.18528743259138739,Low Risk,9037.800000000001
EMP-11595,Sales,2015,Mid Level,89484,Hybrid,9,5.0,0,10,No,0.22819145028059132,Low Risk,17896.8
EMP-11596,Engineering,2017,Mid Level,86357,Hybrid,7,3.0,0,7,No,0.23152963267420443,Low Risk,17271.4
EMP-11597,Engineering,2023,Senior,132975,Hybrid,1,1.0,0,17,No,0.37905629972545735,Medium Risk,26595.0
EMP-11598,Sales,2017,Entry Level,46654,Hybrid,7,1.0,1,6,Yes,0.4560891978630394,Medium Risk,9330.800000000001
EMP-11599,Engineering,2015,Entry Level,47883,Hybrid,9,2.0,0,31,Yes,0.8522496458160574,High Risk,9576.6
EMP-11600,Sales,2011,Senior,133041,Never,13,1.0,1,11,No,0.39028199124685964,Medium Risk,26608.2
EMP-11601,Sales,2020,Mid Level,88102,Never,4,3.0,1,23,No,0.1491531185407079,Low Risk,17620.4
EMP-11602,Sales,2014,Senior,131701,Hybrid,10,5.0,0,1,No,0.2229418534008078,Low Risk,26340.2
EMP-11603,Finance,2015,Entry Level,53645,Hybrid,9,1.0,0,11,Yes,0.6470791164495328,Medium Risk,10729.0
EMP-11604,Sales,2011,Mid Level,87265,Hybrid,13,5.0,2,33,No,0.16198679184569023,Low Risk,17453.0
EMP-11605,Engineering,2011,Executive,198094,Hybrid,13,5.0,0,17,No,0.2238826301828127,Low Risk,39618.8
EMP-11606,Finance,2022,Executive,201279,Never,2,1.0,0,0,No,0.4370734661758602,Medium Risk,40255.8
EMP-11607,Sales,2018,Entry Level,52290,Hybrid,6,5.0,2,4,No,0.19521711504397984,Low Risk,10458.0
EMP-11608,Engineering,2017,Mid Level,86030,Never,7,1.0,0,11,Yes,0.5699681397426984,Medium Risk,17206.0
EMP-11609,Sales,2014,Senior,130813,Hybrid,10,3.0,0,32,No,0.3846875459637943,Medium Risk,26162.600000000002
EMP-11610,Engineering,2023,Executive,197660,Hybrid,1,5.0,0,3,No,0.1387537216579026,Low Risk,39532.0
EMP-11611,Engineering,2023,Mid Level,84172,Fully Remote,1,2.0,0,9,No,0.35902407806801323,Medium Risk,16834.4
EMP-11612,Finance,2012,Senior,130693,Hybrid,12,4.0,1,11,No,0.09845265320533296,Low Risk,26138.600000000002
EMP-11613,Engineering,2013,Mid Level,81158,Hybrid,11,3.0,0,3,No,0.24695173161487666,Low Risk,16231.6
EMP-11614,Finance,2012,Entry Level,54644,Never,12,4.0,0,12,Yes,0.43229344569870193,Medium Risk,10928.800000000001
EMP-11615,Engineering,2016,Entry Level,48855,Never,8,5.0,0,8,No,0.3776300787503516,Medium Risk,9771.0
EMP-11616,Sales,2021,Mid Level,84407,Fully Remote,3,1.0,0,2,No,0.3552621941238755,Medium Risk,16881.4
EMP-11617,Marketing,2011,Entry Level,45586,Fully Remote,13,4.0,1,8,No,0.19038397694538042,Low Risk,9117.2
EMP-11618,HR,2010,Mid Level,89956,Fully Remote,14,5.0,1,23,No,0.09549161568961342,Low Risk,17991.2
EMP-11619,Engineering,2011,Entry Level,45589,Hybrid,13,3.0,1,10,No,0.17147472189151192,Low Risk,9117.800000000001
EMP-11620,Marketing,2022,Entry Level,53655,Hybrid,2,5.0,0,3,No,0.27309371152075523,Low Risk,10731.0
EMP-11621,Engineering,2017,Entry Level,48603,Hybrid,7,2.0,0,20,Yes,0.6024530082986499,Medium Risk,9720.6
EMP-11622,Sales,2018,Mid Level,82841,Hybrid,6,4.0,0,42,No,0.4283258027913705,Medium Risk,16568.2
EMP-11623,Engineering,2018,Entry Level,45925,Fully Remote,6,4.0,0,33,Yes,0.46564476510540426,Medium Risk,9185.0
EMP-11624,Engineering,2015,Entry Level,46578,Never,9,4.0,0,1,No,0.40522467834342923,Medium Risk,9315.6
EMP-11625,Sales,2015,Entry Level,52750,Hybrid,9,3.0,0,4,No,0.37752361609335217,Medium Risk,10550.0
EMP-11626,Engineering,2014,Entry Level,45245,Never,10,4.0,1,10,No,0.2611543245555692,Low Risk,9049.0
EMP-11627,Finance,2014,Mid Level,84603,Hybrid,10,3.0,0,3,No,0.2364149536686081,Low Risk,16920.600000000002
EMP-11628,Sales,2011,Mid Level,85714,Hybrid,13,3.0,2,22,No,0.07557842511199712,Low Risk,17142.8
EMP-11629,Sales,2015,Entry Level,54913,Fully Remote,9,1.0,0,8,Yes,0.6669574721914703,High Risk,10982.6
EMP-11630,Engineering,2014,Entry Level,48941,Hybrid,10,5.0,1,6,No,0.19616514246727815,Low Risk,9788.2
EMP-11631,Engineering,2012,Mid Level,81602,Hybrid,12,1.0,0,10,Yes,0.5242786882692664,Medium Risk,16320.400000000001
EMP-11632,Engineering,2010,Mid Level,89963,Fully Remote,14,2.0,1,15,Yes,0.41678654874254406,Medium Risk,17992.600000000002
EMP-11633,Engineering,2014,Mid Level,80328,Hybrid,10,3.0,0,27,No,0.2204065308293527,Low Risk,16065.6
EMP-11634,Marketing,2010,Mid Level,84773,Fully Remote,14,4.0,0,7,No,0.2389736145816195,Low Risk,16954.600000000002
EMP-11635,Engineering,2011,Entry Level,49451,Hybrid,13,4.0,1,3,No,0.18145741881558164,Low Risk,9890.2
EMP-11636,HR,2015,Mid Level,83491,Hybrid,9,5.0,1,13,No,0.10143488125165366,Low Risk,16698.2
EMP-11637,Engineering,2020,Senior,133759,Fully Remote,4,1.0,0,17,No,0.4889893104062773,Medium Risk,26751.800000000003
EMP-11638,Sales,2017,Mid Level,82794,Never,7,2.0,1,10,No,0.37649834388839065,Medium Risk,16558.8
EMP-11639,Engineering,2019,Mid Level,80160,Hybrid,5,3.0,0,1,No,0.23874386809434556,Low Risk,16032.0
EMP-11640,Finance,2019,Entry Level,50888,Hybrid,5,3.0,0,2,No,0.35910099972601706,Medium Risk,10177.6
EMP-11641,Marketing,2021,Mid Level,87274,Hybrid,3,3.0,0,20,No,0.12690436990079065,Low Risk,17454.8
EMP-11642,Marketing,2015,Entry Level,46017,Never,9,5.0,0,1,No,0.3876067835407086,Medium Risk,9203.4
EMP-11643,Engineering,2016,Mid Level,82697,Hybrid,8,5.0,1,0,No,0.09318504312170671,Low Risk,16539.4
EMP-11644,Sales,2014,Entry Level,49975,Never,10,1.0,0,7,No,0.6532724014581404,High Risk,9995.0
EMP-11645,Sales,2012,Mid Level,86773,Never,12,2.0,0,15,No,0.5892765782962074,Medium Risk,17354.600000000002
EMP-11646,Engineering,2021,Entry Level,48618,Fully Remote,3,3.0,2,7,No,0.14448381136528995,Low Risk,9723.6
EMP-11647,Marketing,2021,Senior,131978,Never,3,1.0,0,21,No,0.48214696095599535,Medium Risk,26395.600000000002
EMP-11648,Sales,2014,Senior,132177,Hybrid,10,5.0,0,2,Yes,0.22476794353344512,Low Risk,26435.4
EMP-11649,Engineering,2010,Mid Level,85319,Never,14,2.0,0,29,No,0.6098712193745763,Medium Risk,17063.8
EMP-11650,Engineering,2012,Senior,131649,Fully Remote,12,5.0,1,7,No,0.098761346511547,Low Risk,26329.800000000003
EMP-11651,Marketing,2023,Entry Level,48237,Never,1,3.0,1,3,Yes,0.329038527307391,Low Risk,9647.4
EMP-11652,Engineering,2019,Entry Level,47944,Hybrid,5,2.0,1,10,Yes,0.4893158614731681,Medium Risk,9588.800000000001
EMP-11653,Engineering,2023,Executive,201546,Hybrid,1,5.0,0,2,Yes,0.18499904179276677,Low Risk,40309.200000000004
EMP-11654,Sales,2018,Mid Level,82681,Hybrid,6,4.0,1,5,No,0.10357360676241976,Low Risk,16536.2
EMP-11655,Engineering,2013,Entry Level,52097,Hybrid,11,1.0,0,22,Yes,0.6069633245772079,Medium Risk,10419.400000000001
EMP-11656,Engineering,2016,Mid Level,83997,Hybrid,8,3.0,2,1,No,0.08941609219062081,Low Risk,16799.4
EMP-11657,Marketing,2017,Mid Level,88550,Fully Remote,7,4.0,1,1,No,0.09344109460244054,Low Risk,17710.0
EMP-11658,Sales,2016,Entry Level,52818,Hybrid,8,3.0,0,1,No,0.37770250144411643,Medium Risk,10563.6
EMP-11659,Marketing,2017,Entry Level,53747,Hybrid,7,4.0,0,27,No,0.3391791776683866,Low Risk,10749.400000000001
EMP-11660,Finance,2021,Executive,198935,Never,3,5.0,0,8,No,0.22705880573586718,Low Risk,39787.0
EMP-11661,Engineering,2012,Executive,203876,Fully Remote,12,1.0,1,67,Yes,0.6552659361787073,High Risk,40775.200000000004
EMP-11662,Marketing,2016,Senior,134322,Hybrid,8,4.0,1,45,Yes,0.3577849490311627,Medium Risk,26864.4
EMP-11663,Sales,2010,Mid Level,80433,Never,14,2.0,1,6,No,0.3625784927982489,Medium Risk,16086.6
EMP-11664,Engineering,2013,Mid Level,83754,Fully Remote,11,1.0,0,3,Yes,0.5363177835228788,Medium Risk,16750.8
EMP-11665,Sales,2020,Entry Level,54265,Hybrid,4,1.0,1,14,No,0.48336527909484805,Medium Risk,10853.0
EMP-11666,Engineering,2022,Executive,199541,Fully Remote,2,3.0,0,1,No,0.137171519449609,Low Risk,39908.200000000004
EMP-11667,Marketing,2010,Mid Level,85774,Fully Remote,14,4.0,1,28,No,0.09185803707591916,Low Risk,17154.8
EMP-11668,Finance,2020,Entry Level,51084,Hybrid,4,4.0,0,7,No,0.3562304851278221,Medium Risk,10216.800000000001
EMP-11669,Engineering,2022,Mid Level,82179,Hybrid,2,3.0,0,0,No,0.1219224130049775,Low Risk,16435.8
EMP-11670,Sales,2018,Entry Level,53414,Hybrid,6,1.0,1,0,No,0.46642669013457505,Medium Risk,10682.800000000001
EMP-11671,Finance,2021,Entry Level,49936,Hybrid,3,2.0,1,3,No,0.45331946276032076,Medium Risk,9987.2
EMP-11672,Engineering,2017,Mid Level,89890,Never,7,4.0,0,6,Yes,0.3092441188089339,Low Risk,17978.0
EMP-11673,Sales,2016,Mid Level,81061,Fully Remote,8,2.0,0,14,No,0.4983890713711039,Medium Risk,16212.2
EMP-11674,Sales,2015,Mid Level,82039,Fully Remote,9,2.0,0,11,No,0.5144521635766498,Medium Risk,16407.8
EMP-11675,Engineering,2010,Executive,199834,Fully Remote,14,5.0,0,7,No,0.24024218121535793,Low Risk,39966.8
EMP-11676,Engineering,2018,Mid Level,86019,Never,6,3.0,1,26,No,0.17044076199623265,Low Risk,17203.8
EMP-11677,HR,2018,Senior,128733,Hybrid,6,3.0,1,18,No,0.10395878346858341,Low Risk,25746.600000000002
EMP-11678,Marketing,2014,Entry Level,53265,Fully Remote,10,2.0,2,8,No,0.5100868712438088,Medium Risk,10653.0
